href,href_url,Brand,Item,is_men
1116709,/innocence-hooded-baseball-sweater-1116709.html,Nena &amp; Pasadena,Innocence Hooded Baseball Sweater ,True
1102022,/retro-colourblock-high-crew-1102022.html,Tommy Jeans,Retro Colourblock High Crew,True
1102430,/v-neck-long-sleeve-knit-1102430.html,Polo Ralph Lauren,V-Neck Long Sleeve Knit,True
1131502,/prowler-crew-sweater-1131502.html,Thrills,Prowler Crew Sweater,True
1150156,/workwear-waffle-crew-1150156.html,Stussy,Workwear Waffle Crew,True
1101848,/binge-on-hoodie-1101848.html,BINGE X THE ICONIC,Binge On Hoodie,True
1097292,/cool-lite-momentum-hooded-pullover-men-s-1097292.html,Icebreaker,Cool-Lite™ Momentum Hooded Pullover - Men's,True
1106580,/embroidered-panel-half-zip-sweatshirt-1106580.html,Fred Perry,Embroidered Panel Half Zip Sweatshirt,True
1028182,/winterised-1-4-zip-hoodie-1028182.html,Tommy Sport,Winterised 1/4 Zip Hoodie,True
1081998,/sweatshirt-jumper-1081998.html,C.P. Company,Sweatshirt Jumper,True
1101850,/chill-chill-chill-sweat-top-1101850.html,BINGE X THE ICONIC,"Chill, Chill, Chill Sweat Top",True
1056116,/mountain-10k-quarter-zip-fleece-1056116.html,Huf,Mountain 10K Quarter-Zip Fleece,True
1105484,/lifestyle-panel-logo-sweater-1105484.html,Lacoste,Lifestyle Panel Logo Sweater,True
1114378,/nord-graphic-sweatshirt-1114378.html,Helly Hansen,Nord Graphic Sweatshirt,True
1103430,/lewis-hamilton-flag-hoodie-1103430.html,Tommy Hilfiger,Lewis Hamilton Flag Hoodie,True
1116711,/winchester-hooded-baseball-sweater-1116711.html,Nena &amp; Pasadena,Winchester Hooded Baseball Sweater,True
1122359,/organic-cotton-hooded-sweat-1122359.html,AERE,Organic Cotton Hooded Sweat,True
1126955,/ditch-saturdays-embroidered-hoodie-1126955.html,Saturdays NYC,Ditch Saturdays Embroidered Hoodie,True
1102021,/retro-colourblock-high-crew-1102021.html,Tommy Jeans,Retro Colourblock High Crew,True
1075763,/p-6-label-uprisal-hoodie-1075763.html,Patagonia,P-6 Label Uprisal Hoodie,True
1086448,/p-6-logo-uprisal-hoodie-men-s-1086448.html,Patagonia,P-6 Logo Uprisal Hoodie - Men's,True
491556,/essential-logo-crew-sweat-491556.html,Puma,Essential Logo Crew Sweat,True
1143065,/vintage-keyline-logo-crew-bulls-1143065.html,Mitchell &amp; Ness,Vintage Keyline Logo Crew - Bulls,True
1122356,/organic-cotton-hooded-sweat-1122356.html,AERE,Organic Cotton Hooded Sweat,True
1075761,/fitz-roy-horizons-uprisal-hoodie-1075761.html,Patagonia,Fitz Roy Horizons Uprisal Hoodie,True
1102014,/washed-corp-logo-crew-1102014.html,Tommy Jeans,Washed Corp Logo Crew,True
1103400,/plus-icon-half-zip-mock-sweatshirt-1103400.html,Tommy Hilfiger,Plus Icon Half Zip Mock Sweatshirt,True
823950,/reverse-weave-script-pullover-hoodie-823950.html,Champion,Reverse Weave Script Pullover Hoodie,True
1067831,/mondo-hoodie-1067831.html,Deus Ex Machina,Mondo Hoodie,True
1111440,/tka-glacier-snap-neck-pullover-1111440.html,The North Face,TKA Glacier Snap-Neck Pullover,True
1135399,/s-girk-s3-sweater-1135399.html,Diesel,S-Girk-S3 Sweater,True
1200339,/block-stripe-rugby-jumper-1200339.html,Gazman,Block Stripe Rugby Jumper,True
1006641,/organic-quarter-zip-sweater-1006641.html,AERE,Organic Quarter Zip Sweater,True
1116373,/target-crew-sweater-1116373.html,AllSaints,Target Crew Sweater,True
1118396,/ccc-camo-hoodie-1118396.html,Canterbury,CCC Camo Hoodie,True
1106582,/crew-neck-sweatshirt-1106582.html,Fred Perry,Crew Neck Sweatshirt,True
1160709,/lightweight-synch-snap-t-pullover-1160709.html,Patagonia,Lightweight Synch Snap-T Pullover,True
1114369,/nord-graphic-hoodie-1114369.html,Helly Hansen,Nord Graphic Hoodie,True
1074315,/heavy-panel-hoodie-unisex-1074315.html,Russell Athletic,Heavy Panel Hoodie - Unisex,True
1109388,/classics-crew-sweater-1109388.html,Reebok,Classics Crew Sweater,True
1104780,/sportstyle-terry-full-zip-hoodie-1104780.html,Under Armour,Sportstyle Terry Full-Zip Hoodie,True
1118117,/sterpeto-core-hoodie-1118117.html,Ellesse,Sterpeto Core Hoodie,True
599020,/adicolor-trefoil-crew-sweatshirt-599020.html,adidas Originals,Adicolor Trefoil Crew Sweatshirt,True
1039265,/crest-logo-hoodie-1039265.html,Tommy Hilfiger,Crest Logo Hoodie,True
973599,/denim-pullover-sweater-973599.html,Bonds,Denim Pullover Sweater,True
824382,/3-stripes-crew-824382.html,adidas Originals,3-Stripes Crew,True
1127445,/l-ve-classic-hoodie-unisex-1127445.html,Lacoste,L!Ve Classic Hoodie - Unisex,True
1110486,/authentic-delind-hoodie-1110486.html,Kappa,Authentic Delind Hoodie,True
655311,/essential-big-logo-fleece-hoodie-655311.html,Puma,Essential Big Logo Fleece Hoodie,True
1069804,/alton-ave-sweater-1069804.html,Rodd &amp; Gunn,Alton Ave Sweater,True
1006185,/celebration-full-zip-hoodie-1006185.html,Puma,Celebration Full Zip Hoodie,True
1116731,/infamous-hooded-dual-curved-hoodie-1116731.html,Nena &amp; Pasadena,Infamous Hooded Dual Curved Hoodie,True
1117274,/sweat-shirt-shop-embossed-hood-1117274.html,Superdry,Sweat Shirt Shop Embossed Hood,True
992776,/must-haves-3-stripes-full-zip-hoodie-992776.html,adidas Performance,Must-Haves 3-Stripes Full-Zip Hoodie,True
1111445,/himalayan-source-pullover-hoodie-men-s-1111445.html,The North Face,Himalayan Source Pullover Hoodie - Men's,True
1092078,/adventure-field-half-zip-sweatshirt-1092078.html,adidas Originals,Adventure Field Half-Zip Sweatshirt,True
1200177,/plain-rugby-jumper-1200177.html,Gazman,Plain Rugby Jumper,True
